
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.071383,-0.0941,0.9887,0.4048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.107580,-0.0287,0.9399,0.3523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.185930,-0.0817,0.9759,0.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.224572,-0.0817,0.9759,0.3904,-0.4297,0.4039,0.4122,0.0000,0.0000,0.0000,
0.263538,0.0060,0.9436,0.3522,-0.4297,0.4039,0.4122,0.0000,0.0000,0.0000,
0.264234,0.0060,0.9436,0.3522,-0.4297,0.4039,0.4122,0.1037,0.3950,0.3120,
0.264753,0.0060,0.9436,0.3522,0.6009,-0.0002,-0.5073,0.1037,0.3950,0.3120,
0.303360,0.0060,0.9436,0.3522,0.0165,-0.3553,0.6529,0.1037,0.3950,0.3120,
0.342412,0.0060,0.9436,0.3522,-1.3030,0.6713,0.6775,0.1037,0.3950,0.3120,
0.343102,-0.1809,1.0393,0.4311,-1.3030,0.6713,0.6775,0.1037,0.3950,0.3120,
0.343529,-0.1809,1.0393,0.4311,-1.3030,0.6713,0.6775,0.3384,0.6603,0.3056,
0.381571,-0.1809,1.0393,0.4311,-1.3030,0.6713,0.6775,0.4188,0.2246,0.4190,
0.382398,-0.0635,0.9904,0.2911,-1.3030,0.6713,0.6775,0.4188,0.2246,0.4190,
0.382979,-0.0635,0.9904,0.2911,0.1952,-0.0546,-0.3344,0.4188,0.2246,0.4190,
0.419805,-0.0635,0.9904,0.2911,-0.5201,0.1386,-0.3733,0.4188,0.2246,0.4190,
0.458530,-0.0288,1.0008,0.2966,-0.5201,0.1386,-0.3733,0.4188,0.2246,0.4190,
0.459175,-0.0288,1.0008,0.2966,-0.5201,0.1386,-0.3733,0.3029,0.3146,0.4103,
0.459601,-0.0288,1.0008,0.2966,-0.3133,0.1365,-0.2165,0.3029,0.3146,0.4103,
0.497295,-0.0288,1.0008,0.2966,0.0839,0.0474,0.0846,0.3029,0.3146,0.4103,
0.537922,-0.0288,1.0008,0.2966,0.0839,0.0474,0.0846,0.3511,0.0266,0.3664,
0.538800,-0.0105,1.0354,0.1622,0.0839,0.0474,0.0846,0.3511,0.0266,0.3664,
0.539384,-0.0105,1.0354,0.1622,-0.1400,0.4225,-1.2000,0.3511,0.0266,0.3664,
0.577251,0.1100,1.0004,0.2383,-0.1400,0.4225,-1.2000,0.3511,0.0266,0.3664,
0.578379,0.1100,1.0004,0.2383,-0.3999,-0.3068,-0.0235,0.3511,0.0266,0.3664,
0.614436,0.1100,1.0004,0.2383,-0.3999,-0.3068,-0.0235,0.2592,-0.5365,0.3325,
