
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.029409,0.0000,0.0000,0.0000,0.3202,-0.0687,0.4563,0.0000,0.0000,0.0000,
0.036778,0.0870,0.3055,0.9758,0.3202,-0.0687,0.4563,0.0000,0.0000,0.0000,
0.037436,0.0870,0.3055,0.9758,0.3202,-0.0687,0.4563,-0.1328,0.0154,-0.0760,
0.052360,0.0870,0.3055,0.9758,0.0053,0.0209,0.0659,-0.1328,0.0154,-0.0760,
0.072039,0.0870,0.3055,0.9758,-0.1142,-0.0425,-0.2434,-0.1328,0.0154,-0.0760,
0.091910,0.0870,0.3055,0.9758,-0.0613,0.0225,-0.3076,-0.1328,0.0154,-0.0760,
0.101932,0.0690,0.3069,0.9308,-0.0613,0.0225,-0.3076,-0.1328,0.0154,-0.0760,
0.102390,0.0690,0.3069,0.9308,-0.0613,0.0225,-0.3076,-0.1795,0.0259,-0.0298,
0.111908,0.0690,0.3069,0.9308,0.1093,-0.0113,-0.3746,-0.1795,0.0259,-0.0298,
0.131940,0.0690,0.3069,0.9308,-0.0789,-0.0110,-0.4334,-0.1795,0.0259,-0.0298,
0.154753,0.0690,0.3069,0.9308,-0.0396,-0.1638,-0.5258,-0.1795,0.0259,-0.0298,
0.169886,0.0068,0.3191,0.9343,-0.0396,-0.1638,-0.5258,-0.1795,0.0259,-0.0298,
0.170593,0.0068,0.3191,0.9343,-0.0396,-0.1638,-0.5258,-0.4036,0.1498,0.0814,
0.172658,0.0068,0.3191,0.9343,-0.6523,0.3457,-0.2307,-0.4036,0.1498,0.0814,
0.191497,0.0068,0.3191,0.9343,-0.3412,0.2883,0.0628,-0.4036,0.1498,0.0814,
0.211590,0.0068,0.3191,0.9343,-0.2537,0.6479,0.9986,-0.4036,0.1498,0.0814,
0.230900,0.0068,0.3191,0.9343,0.1031,0.2075,1.7474,-0.4036,0.1498,0.0814,
0.233017,0.0734,0.2805,1.1551,0.1031,0.2075,1.7474,-0.4036,0.1498,0.0814,
0.233458,0.0734,0.2805,1.1551,0.1031,0.2075,1.7474,0.2976,0.3676,0.1446,
0.250896,0.0734,0.2805,1.1551,0.3688,0.0890,1.6817,0.2976,0.3676,0.1446,
0.270945,0.0734,0.2805,1.1551,0.1662,0.0186,0.6019,0.2976,0.3676,0.1446,
0.290877,0.0734,0.2805,1.1551,0.0795,-0.1450,-0.5667,0.2976,0.3676,0.1446,
0.298581,0.0414,0.3085,0.8513,0.0795,-0.1450,-0.5667,0.2976,0.3676,0.1446,
0.299250,0.0414,0.3085,0.8513,0.0795,-0.1450,-0.5667,0.8022,0.0805,0.0360,
0.310251,0.0414,0.3085,0.8513,0.0930,0.1010,-1.0341,0.8022,0.0805,0.0360,
0.331084,0.0414,0.3085,0.8513,-0.3673,0.1128,-1.2687,0.8022,0.0805,0.0360,
0.350160,0.0414,0.3085,0.8513,0.1029,-0.0738,-1.1817,0.8022,0.0805,0.0360,
0.363809,0.0825,0.3429,0.7946,0.1029,-0.0738,-1.1817,0.8022,0.0805,0.0360,
0.364789,0.0825,0.3429,0.7946,0.1029,-0.0738,-1.1817,0.1870,-0.2011,-0.2072,
0.370973,0.0825,0.3429,0.7946,0.3350,-0.1017,-1.4691,0.1870,-0.2011,-0.2072,
0.390606,0.0825,0.3429,0.7946,0.1985,-0.2298,-2.1979,0.1870,-0.2011,-0.2072,
0.409530,0.0825,0.3429,0.7946,-0.6912,0.0661,-2.1305,0.1870,-0.2011,-0.2072,
0.429371,-0.0493,0.3263,0.7438,-0.6912,0.0661,-2.1305,0.1870,-0.2011,-0.2072,
0.430328,-0.0493,0.3263,0.7438,-0.6912,0.0661,-2.1305,-0.5487,-0.9143,-0.3528,
0.430975,-0.0493,0.3263,0.7438,-1.0874,-0.2044,-1.9497,-0.5487,-0.9143,-0.3528,
0.449440,-0.0493,0.3263,0.7438,-1.4711,-0.2938,-1.4383,-0.5487,-0.9143,-0.3528,
0.469457,-0.0493,0.3263,0.7438,-1.3479,-0.6248,-0.6332,-0.5487,-0.9143,-0.3528,
0.489260,-0.0493,0.3263,0.7438,-0.1767,-0.7730,0.5031,-0.5487,-0.9143,-0.3528,
0.494961,0.1517,0.2320,1.0216,-0.1767,-0.7730,0.5031,-0.5487,-0.9143,-0.3528,
0.495558,0.1517,0.2320,1.0216,-0.1767,-0.7730,0.5031,-1.2163,0.1177,0.2980,
0.509163,0.1517,0.2320,1.0216,0.6969,-0.6470,1.4515,-1.2163,0.1177,0.2980,
0.528969,0.1517,0.2320,1.0216,0.7853,-0.5871,3.2161,-1.2163,0.1177,0.2980,
0.548937,0.1517,0.2320,1.0216,-0.1408,-0.3495,3.3851,-1.2163,0.1177,0.2980,
0.560466,0.0446,0.2230,1.2854,-0.1408,-0.3495,3.3851,-1.2163,0.1177,0.2980,
0.561368,0.0446,0.2230,1.2854,-0.1408,-0.3495,3.3851,-0.2761,0.2541,0.1440,
0.568176,0.0446,0.2230,1.2854,-0.4054,-0.0017,2.9479,-0.2761,0.2541,0.1440,
0.588282,0.0446,0.2230,1.2854,0.2052,0.1808,2.2549,-0.2761,0.2541,0.1440,
0.608306,0.0446,0.2230,1.2854,0.3846,0.5265,1.2552,-0.2761,0.2541,0.1440,
0.626536,0.1153,0.2501,1.0450,0.3846,0.5265,1.2552,-0.2761,0.2541,0.1440,
0.627466,0.1153,0.2501,1.0450,0.3846,0.5265,1.2552,0.3025,-0.0520,0.0393,
0.628286,0.1153,0.2501,1.0450,0.3553,0.2263,0.7164,0.3025,-0.0520,0.0393,
0.647951,0.1153,0.2501,1.0450,0.4506,0.2453,0.4545,0.3025,-0.0520,0.0393,
0.667582,0.1153,0.2501,1.0450,0.5423,0.3816,0.1164,0.3025,-0.0520,0.0393,
0.687724,0.1153,0.2501,1.0450,0.5657,0.3375,-0.6662,0.3025,-0.0520,0.0393,
0.691514,0.1558,0.2808,0.8591,0.5657,0.3375,-0.6662,0.3025,-0.0520,0.0393,
0.692079,0.1558,0.2808,0.8591,0.5657,0.3375,-0.6662,0.3457,-0.2529,-0.1046,
0.707793,0.1558,0.2808,0.8591,0.5415,0.3411,-1.4658,0.3457,-0.2529,-0.1046,
0.728194,0.1558,0.2808,0.8591,0.4609,0.2172,-2.0417,0.3457,-0.2529,-0.1046,
0.747229,0.1558,0.2808,0.8591,0.3692,0.3360,-1.9164,0.3457,-0.2529,-0.1046,
0.757404,0.1536,0.3034,0.7735,0.3692,0.3360,-1.9164,0.3457,-0.2529,-0.1046,
0.758325,0.1536,0.3034,0.7735,0.3692,0.3360,-1.9164,-0.2207,-0.0372,-0.1169,
0.766912,0.1536,0.3034,0.7735,0.6481,0.4472,-1.8176,-0.2207,-0.0372,-0.1169,
0.787291,0.1536,0.3034,0.7735,1.4745,0.6341,-1.4698,-0.2207,-0.0372,-0.1169,
0.809244,0.1536,0.3034,0.7735,1.3965,0.6594,-1.1772,-0.2207,-0.0372,-0.1169,
0.824849,0.1777,0.3241,0.9516,1.3965,0.6594,-1.1772,-0.2207,-0.0372,-0.1169,
