
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.013617,0.1273,0.2224,0.9510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.041969,0.1048,0.2340,0.9511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.043834,0.0943,0.2504,0.9507,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.044928,0.0949,0.2860,0.9091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.046073,0.0739,0.2927,0.9080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.047440,0.0739,0.2927,0.9080,-1.5015,-7.0700,-2.5442,0.0000,0.0000,0.0000,
0.049145,0.0555,0.2895,0.9112,-1.5015,-7.0700,-2.5442,0.0000,0.0000,0.0000,
0.050481,0.0375,0.2855,0.9267,-1.5015,-7.0700,-2.5442,0.0000,0.0000,0.0000,
0.051657,0.0391,0.2720,0.9499,-1.5015,-7.0700,-2.5442,0.0000,0.0000,0.0000,
0.053476,0.0782,0.2454,0.9605,-1.5015,-7.0700,-2.5442,0.0000,0.0000,0.0000,
0.055204,0.1042,0.2223,0.9383,-1.5015,-7.0700,-2.5442,0.0000,0.0000,0.0000,
0.056704,0.1230,0.2119,0.9748,-1.5015,-7.0700,-2.5442,0.0000,0.0000,0.0000,
0.057945,0.1230,0.2119,0.9748,-0.0331,-0.0711,-0.3017,0.0000,0.0000,0.0000,
0.059218,0.1485,0.2069,1.0117,-0.0331,-0.0711,-0.3017,0.0000,0.0000,0.0000,
0.060149,0.1485,0.2069,1.0117,-0.0331,-0.0711,-0.3017,-1.3175,-1.1522,1.0979,
0.061167,0.1808,0.2042,1.0503,-0.0331,-0.0711,-0.3017,-1.3175,-1.1522,1.0979,
0.063033,0.2096,0.2047,1.0856,-0.0331,-0.0711,-0.3017,-1.3175,-1.1522,1.0979,
0.069012,0.2437,0.2035,1.1079,-0.0331,-0.0711,-0.3017,-1.3175,-1.1522,1.0979,
0.070540,0.2577,0.1954,1.1278,-0.0331,-0.0711,-0.3017,-1.3175,-1.1522,1.0979,
0.071443,0.2577,0.1954,1.1278,1.0353,0.0270,1.3331,-1.3175,-1.1522,1.0979,
0.074783,0.2499,0.1905,1.1647,1.0353,0.0270,1.3331,-1.3175,-1.1522,1.0979,
0.078438,0.2333,0.1842,1.1960,1.0353,0.0270,1.3331,-1.3175,-1.1522,1.0979,
0.082387,0.2230,0.1790,1.2089,1.0353,0.0270,1.3331,-1.3175,-1.1522,1.0979,
0.088464,0.2172,0.1718,1.2025,1.0353,0.0270,1.3331,-1.3175,-1.1522,1.0979,
0.090378,0.2165,0.1665,1.1900,1.0353,0.0270,1.3331,-1.3175,-1.1522,1.0979,
0.091378,0.2165,0.1665,1.1900,0.6060,-0.0712,2.2456,-1.3175,-1.1522,1.0979,
