"","time","gFx","gFy","gFz","ax","ay","az","wx","wy","wz","gN","gNm","gNsd","switch","dt","pid"
"1",0.050481,0.0375,0.2855,0.9267,-1.5015,-7.07,-2.5442,0,0,0,0.14168939,0.248829346,0.105897589692391,0,0,1
"2",0.051657,0.0391,0.272,0.9499,-1.5015,-7.07,-2.5442,0,0,0,0.17782282,0.287484842,0.130204964960165,0,0.001176,1
"3",0.053476,0.0782,0.2454,0.9605,-1.5015,-7.07,-2.5442,0,0,0,0.18889665,0.327354889,0.152096919019784,0,0.001819,1
"4",0.055204,0.1042,0.2223,0.9383,-1.5015,-7.07,-2.5442,0,0,0,0.14068182,0.366117553,0.161963652261152,0,0.001728,1
"5",0.056704,0.123,0.2119,0.9748,-1.5015,-7.07,-2.5442,0,0,0,0.21026565,0.417576006,0.164112446249418,0,0.00149999999999999,1
"6",0.057945,0.123,0.2119,0.9748,-0.0331,-0.0711,-0.3017,0,0,0,0.21026565,0.468426894,0.171360858417019,0,0.00124100000000001,1
"7",0.059218,0.1485,0.2069,1.0117,-0.0331,-0.0711,-0.3017,0,0,0,0.28839675,0.52172125,0.1649026998111,0,0.001273,1
"8",0.060149,0.1485,0.2069,1.0117,-0.0331,-0.0711,-0.3017,-1.3175,-1.1522,1.0979,0.28839675,0.565151308,0.153415002416463,0,0.000931000000000001,1
"9",0.061167,0.1808,0.2042,1.0503,-0.0331,-0.0711,-0.3017,-1.3175,-1.1522,1.0979,0.37751637,0.605381083,0.122387874497552,0,0.001018,1
"10",0.102655,0.2393,0.1355,1.1215,0.606,-0.0712,2.2456,-1.3175,-1.1522,1.0979,0.53338699,0.554351058,0.123341890374741,0,0.041488,1
"11",0.108711,0.2842,0.1082,1.0994,0.606,-0.0712,2.2456,-1.3175,-1.1522,1.0979,0.50115724,0.530478251,0.148406499761164,0,0.00605600000000001,1
"12",0.109948,0.381,0.0534,1.0733,0.606,-0.0712,2.2456,-1.3175,-1.1522,1.0979,0.49998545,0.493182241,0.195868677520984,0,0.001237,1
"13",0.11049,0.381,0.0534,1.0733,1.1899,-0.611,1.2335,-1.3175,-1.1522,1.0979,0.49998545,0.445906145,0.244949178184338,0,0.000542000000000001,1
"14",0.113952,0.4873,-6e-04,1.0579,1.1899,-0.611,1.2335,-1.3175,-1.1522,1.0979,0.55661406,0.398354827,0.277302794867412,0,0.00346199999999999,1
"15",0.117926,0.6024,-0.0453,1.0524,1.1899,-0.611,1.2335,-1.3175,-1.1522,1.0979,0.67248361,0.350991676,0.287528272603163,0,0.00397400000000001,1
"16",0.119754,0.6024,-0.0453,1.0524,1.1899,-0.611,1.2335,1.0389,-0.5924,0.6263,0.67248361,0.297367961,0.270402166324994,0,0.001828,1
"17",0.121679,0.6891,-0.0621,1.0265,1.1899,-0.611,1.2335,1.0389,-0.5924,0.6263,0.73241747,0.243744246,0.239106982990886,0,0.001925,1
"18",0.241555,0.1305,0.2298,0.8757,-1.1206,0.4596,-1.7507,0.1608,-0.2901,-0.5733,0.03668878,0.211094738,0.163578111983086,0,0.119876,1
"19",0.247227,0.1249,0.244,0.9014,-1.1206,0.4596,-1.7507,0.1608,-0.2901,-0.5733,0.08765797,0.261844374,0.181229354581075,0,0.00567200000000001,1
"20",0.249516,0.1143,0.2628,0.9128,-1.1206,0.4596,-1.7507,0.1608,-0.2901,-0.5733,0.11533217,0.318743607,0.207833346528532,0,0.00228899999999999,1
"21",0.250132,0.1143,0.2628,0.9128,-0.8638,0.2045,-0.5066,0.1608,-0.2901,-0.5733,0.11533217,0.378806188,0.228298101519045,0,0.000616000000000033,1
"22",0.250643,0.1143,0.2628,0.9128,-0.8638,0.2045,-0.5066,-0.7541,0.007,0.0707,0.11533217,0.426085616,0.216313347617503,0,0.000510999999999984,1
"23",0.25289,0.0986,0.2722,0.9298,-0.8638,0.2045,-0.5066,-0.7541,0.007,0.0707,0.14834284,0.451998562,0.188710743744988,0,0.002247,1
"24",0.256992,0.0952,0.2697,0.9691,-0.8638,0.2045,-0.5066,-0.7541,0.007,0.0707,0.22095594,0.474958524,0.159342961157079,0,0.00410199999999999,1
"25",0.261073,0.1221,0.2547,1.014,-0.8638,0.2045,-0.5066,-0.7541,0.007,0.0707,0.3079765,0.490657176,0.137817085169664,0,0.004081,1
"26",0.267124,0.1845,0.2339,1.0632,-0.8638,0.2045,-0.5066,-0.7541,0.007,0.0707,0.4191437,0.503994239,0.123927586131762,0,0.00605099999999997,1
