"","time","gFx","gFy","gFz","ax","ay","az","wx","wy","wz","gN","gNm","gNsd","switch","dt","pid"
"1",0.10758,-0.0287,0.9399,0.3523,0,0,0,0,0,0,0.20835099,0.290102873,0.117020157057927,0,0,1
"2",0.18593,-0.0817,0.9759,0.3904,0,0,0,0,0,0,0.31146786,0.319139425,0.12980691646895,0,0.07835,1
"3",0.224572,-0.0817,0.9759,0.3904,-0.4297,0.4039,0.4122,0,0,0,0.31146786,0.314959001,0.130751147431228,0,0.038642,1
"4",0.263538,0.006,0.9436,0.3522,-0.4297,0.4039,0.4122,0,0,0,0.2144618,0.310778577,0.131541073863092,0,0.038966,1
"5",0.264234,0.006,0.9436,0.3522,-0.4297,0.4039,0.4122,0.1037,0.395,0.312,0.2144618,0.316298759,0.128164946274458,0,0.00069600000000003,1
"6",0.264753,0.006,0.9436,0.3522,0.6009,-2e-04,-0.5073,0.1037,0.395,0.312,0.2144618,0.323892743,0.123630043861165,0,0.000518999999999992,1
"7",0.30336,0.006,0.9436,0.3522,0.0165,-0.3553,0.6529,0.1037,0.395,0.312,0.2144618,0.331486727,0.118382302764479,0,0.038607,1
"8",0.342412,0.006,0.9436,0.3522,-1.303,0.6713,0.6775,0.1037,0.395,0.312,0.2144618,0.339080711,0.112321854692915,0,0.039052,1
"9",0.343102,-0.1809,1.0393,0.4311,-1.303,0.6713,0.6775,0.1037,0.395,0.312,0.49871651,0.346674695,0.105308480411694,0,0.000690000000000024,1
"10",0.497295,-0.0288,1.0008,0.2966,0.0839,0.0474,0.0846,0.3029,0.3146,0.4103,0.29040164,0.345332148,0.204813166569893,0,0.154193,1
"11",0.537922,-0.0288,1.0008,0.2966,0.0839,0.0474,0.0846,0.3511,0.0266,0.3664,0.29040164,0.409005829,0.273348319633955,0,0.040627,1
"12",0.5388,-0.0105,1.0354,0.1622,0.0839,0.0474,0.0846,0.3511,0.0266,0.3664,0.29847225,0.47267951,0.313816085097881,0,0.000877999999999934,1
"13",0.539384,-0.0105,1.0354,0.1622,-0.14,0.4225,-1.2,0.3511,0.0266,0.3664,0.29847225,0.53554613,0.337142808020976,0,0.000584000000000029,1
"14",0.577251,0.11,1.0004,0.2383,-0.14,0.4225,-1.2,0.3511,0.0266,0.3664,0.26968705,0.599856554,0.348055835130466,0,0.037867,1
"15",0.578379,0.11,1.0004,0.2383,-0.3999,-0.3068,-0.0235,0.3511,0.0266,0.3664,0.26968705,0.667045498,0.342036848347137,0,0.00112800000000002,1
"16",0.614436,0.11,1.0004,0.2383,-0.3999,-0.3068,-0.0235,0.2592,-0.5365,0.3325,0.26968705,0.890346282,0.646871565772787,0,0.036057,1
"17",0.61507,0.11,1.0004,0.2383,0.909,0.0131,-0.1355,0.2592,-0.5365,0.3325,0.26968705,1.113647066,0.780441694992906,0,0.000634000000000023,1
